Rank,Fund Name,AMC,Category,Sub-Category,1Y Return (%),3Y Return (%),5Y Return (%),Expense Ratio (%),Fund Age (yrs),AUM (Cr),Risk Level (1-6),Rating (1-5),Fund Score (/100)
1,Quant Small Cap Fund,Quant Mutual Fund,Equity,Small Cap Mutual Funds,5.4,71.4,23.2,0.64,10,3301,6,5,75.5
2,Quant Infrastructure Fund,Quant Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1,0.64,10,822,6,5,69.7
3,Quant Tax Plan- Direct Growth,Quant Mutual Fund,Equity,ELSS Mutual Funds,0.9,54.9,22.2,0.57,10,2779,6,5,66.32
4,Quant Flexi Cap Fund,Quant Mutual Fund,Equity,Flexi Cap Funds,6.8,47.7,18.2,0.58,10,1044,6,5,62.37
5,Quant Active Fund,Quant Mutual Fund,Equity,Multi Cap Funds,1,45.5,19.9,0.58,10,3531,6,0,60.69
6,Quant Mid Cap Fund,Quant Mutual Fund,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8,0.63,10,1550,6,5,60.4
7,Quant Multi Asset Fund,Quant Mutual Fund,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5,0.56,10,634,6,5,59.86
8,PGIM India Midcap Opportunities Fund,PGIM India Mutual Fund,Equity,Mid Cap Mutual Funds,2,42.9,19,0.46,9,7707,6,5,59.37
9,Nippon India Small Cap Fund,Nippon India Mutual Fund,Equity,Small Cap Mutual Funds,8.7,47.6,16.8,0.86,10,23910,6,4,59.2
10,Kotak Small Cap Fund,Kotak Mahindra Mutual Fund,Equity,Small Cap Mutual Funds,-0.7,43.1,17,0.59,10,8617,6,4,59.06
11,ICICI Pru Thematic Advantage Fund,ICICI Prudential Mutual Fund,Other,FoFs Domestic,5.4,35.4,14.6,0.25,10,958,6,0,58.88
12,Canara Robeco Small Cap Fund,Canara Robeco Mutual Fund,Equity,Small Cap Mutual Funds,-0.6,51.8,,0.47,4,4831,6,5,58.06
13,HDFC Small Cap Fund,HDFC Mutual Fund,Equity,Small Cap Mutual Funds,12.5,43.5,13.5,0.8,10,14648,6,3,57.74
14,Tata Small Cap Fund,Tata Mutual Fund,Equity,Small Cap Mutual Funds,17.1,44.1,,0.26,4,3300,6,4,57.15
15,Quant Absolute Fund,Quant Mutual Fund,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1,0.56,10,1013,6,5,57.06
16,HSBC Small Cap Fund,HSBC Mutual Fund,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,0.77,9,8625,6,3,57.05
17,SBI Contra Fund,SBI Mutual Fund,Equity,Contra Funds,15,43.4,15.6,0.91,10,8340,6,5,56.57
18,HDFC Focused 30 Fund,HDFC Mutual Fund,Equity,Focused Funds,16,35.8,11.9,0.54,10,3609,6,3,56.46
19,ICICI Pru Smallcap Fund,ICICI Prudential Mutual Fund,Equity,Small Cap Mutual Funds,7.7,41.8,14.9,0.81,10,4618,6,3,56.3
20,Navi Large Cap Equity Fund,Navi Mutual Fund,Equity,Large Cap Mutual Funds,0.2,32.6,12.4,0.31,10,91,6,2,56.19
21,Navi 3 In 1 Fund,Navi Mutual Fund,Hybrid,Multi Asset Allocation Mutual Funds,0.2,32.6,12.4,0.34,10,15,6,2,55.84
22,ICICI Pru Passive Strategy Fund,ICICI Prudential Mutual Fund,Other,FoFs Domestic,4.9,26.3,10.9,0.06,10,93,6,3,55.7
23,SBI Small Cap Fund,SBI Mutual Fund,Equity,Small Cap Mutual Funds,8.2,38.3,15.3,0.7,10,15395,6,4,55.55
24,ICICI Pru BHARAT 22 FOF  – Direct Growth,ICICI Prudential Mutual Fund,Other,FoFs Domestic,22.1,35,,0.08,5,89,6,5,55.47
25,Sundaram Small Cap Fund,Sundaram Mutual Fund,Equity,Small Cap Mutual Funds,1.6,44.9,9.3,1.01,10,1962,6,2,55.4
26,Kotak Emerging Equity Fund,Kotak Mahindra Mutual Fund,Equity,Mid Cap Mutual Funds,6.6,34,15.2,0.49,10,23962,6,4,55.35
27,Edelweiss Mid Cap Fund,Edelweiss Mutual Fund,Equity,Mid Cap Mutual Funds,4.9,35.5,14,0.57,10,2530,6,4,55.2
28,Tata Digital India Fund,Tata Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,-16,39,22.1,0.31,7,6765,6,0,55.12
29,Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,Kotak Mahindra Mutual Fund,Other,FoFs Domestic,11.2,25,15.3,0.13,10,783,5,0,54.54
30,ICICI Pru Technology Fund,ICICI Prudential Mutual Fund,Equity,Sectoral / Thematic Mutual Funds,-19.7,45.3,21.6,0.99,10,8993,6,0,54.45
